Site Name ,INTERPRETIVE
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14728


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,25/05/2021 , 20:15:00,133,133
2,25/05/2021 , 20:30:00,130,130
3,25/05/2021 , 20:45:00,140,140
4,25/05/2021 , 21:00:00,140,140
5,25/05/2021 , 21:15:00,145,145
6,25/05/2021 , 21:30:00,156,156
7,25/05/2021 , 21:45:00,153,153
8,25/05/2021 , 22:00:00,172,172
9,25/05/2021 , 22:15:00,133,133
10,25/05/2021 , 22:30:00,103,103
11,25/05/2021 , 22:45:00,105,105
12,25/05/2021 , 23:00:00,73,73
13,25/05/2021 , 23:15:00,1,1
14,25/05/2021 , 23:30:00,0,0
15,25/05/2021 , 23:45:00,0,0
16,25/05/2021 , 24:00:00,0,0
17,26/05/2021 , 00:15:00,0,0
18,26/05/2021 , 00:30:00,0,0
19,26/05/2021 , 00:45:00,0,0
20,26/05/2021 , 01:00:00,0,0
21,26/05/2021 , 01:15:00,0,0
22,26/05/2021 , 01:30:00,0,0
23,26/05/2021 , 01:45:00,0,0
24,26/05/2021 , 02:00:00,0,0
25,26/05/2021 , 02:15:00,0,0
26,26/05/2021 , 02:30:00,0,0
27,26/05/2021 , 02:45:00,0,0
28,26/05/2021 , 03:00:00,0,0
29,26/05/2021 , 03:15:00,0,0
30,26/05/2021 , 03:30:00,0,0
31,26/05/2021 , 03:45:00,0,0
32,26/05/2021 , 04:00:00,0,0
33,26/05/2021 , 04:15:00,0,0
34,26/05/2021 , 04:30:00,0,0
35,26/05/2021 , 04:45:00,0,0
36,26/05/2021 , 05:00:00,0,0
37,26/05/2021 , 05:15:00,0,0
38,26/05/2021 , 05:30:00,0,0
39,26/05/2021 , 05:45:00,0,0
40,26/05/2021 , 06:00:00,0,0
41,26/05/2021 , 06:15:00,0,0
42,26/05/2021 , 06:30:00,0,0
43,26/05/2021 , 06:45:00,0,0
44,26/05/2021 , 07:00:00,0,0
45,26/05/2021 , 07:15:00,1,1
46,26/05/2021 , 07:30:00,1,1
47,26/05/2021 , 07:45:00,33,33
48,26/05/2021 , 08:00:00,42,42
49,26/05/2021 , 08:15:00,40,40
50,26/05/2021 , 08:30:00,38,38
51,26/05/2021 , 08:45:00,37,37
52,26/05/2021 , 09:00:00,14,14
53,26/05/2021 , 09:15:00,2,2
54,26/05/2021 , 09:30:00,4,4
55,26/05/2021 , 09:45:00,5,5
56,26/05/2021 , 10:00:00,3,3
57,26/05/2021 , 10:15:00,3,3
58,26/05/2021 , 10:30:00,3,3
59,26/05/2021 , 10:45:00,25,25
60,26/05/2021 , 11:00:00,4,4
61,26/05/2021 , 11:15:00,4,4
62,26/05/2021 , 11:30:00,10,10
63,26/05/2021 , 11:45:00,9,9
64,26/05/2021 , 12:00:00,7,7
65,26/05/2021 , 12:15:00,6,6
66,26/05/2021 , 12:30:00,7,7
67,26/05/2021 , 12:45:00,8,8
68,26/05/2021 , 13:00:00,6,6
69,26/05/2021 , 13:15:00,6,6
70,26/05/2021 , 13:30:00,6,6
71,26/05/2021 , 13:45:00,6,6
72,26/05/2021 , 14:00:00,6,6
73,26/05/2021 , 14:15:00,6,6
74,26/05/2021 , 14:30:00,140,140
75,26/05/2021 , 14:45:00,103,103
76,26/05/2021 , 15:00:00,96,96
77,26/05/2021 , 15:15:00,93,93
78,26/05/2021 , 15:30:00,254,254
79,26/05/2021 , 15:45:00,253,253
80,26/05/2021 , 16:00:00,100,100
81,26/05/2021 , 16:15:00,89,89
82,26/05/2021 , 16:30:00,20,20
83,26/05/2021 , 16:45:00,100,100
84,26/05/2021 , 17:00:00,99,99
85,26/05/2021 , 17:15:00,99,99
86,26/05/2021 , 17:30:00,103,103
87,26/05/2021 , 17:45:00,102,102
88,26/05/2021 , 18:00:00,100,100
89,26/05/2021 , 18:15:00,25,25
90,26/05/2021 , 18:30:00,2,2
91,26/05/2021 , 18:45:00,1,1
92,26/05/2021 , 19:00:00,0,0
93,26/05/2021 , 19:15:00,1,1
94,26/05/2021 , 19:30:00,0,0
95,26/05/2021 , 19:45:00,47,47
96,26/05/2021 , 20:00:00,110,110
97,26/05/2021 , 20:15:00,0,0
98,26/05/2021 , 20:30:00,0,0
99,26/05/2021 , 20:45:00,0,0
100,26/05/2021 , 21:00:00,0,0
101,26/05/2021 , 21:15:00,0,0
102,26/05/2021 , 21:30:00,0,0
103,26/05/2021 , 21:45:00,0,0
104,26/05/2021 , 22:00:00,0,0
105,26/05/2021 , 22:15:00,0,0
106,26/05/2021 , 22:30:00,0,0
107,26/05/2021 , 22:45:00,0,0
108,26/05/2021 , 23:00:00,0,0
109,26/05/2021 , 23:15:00,0,0
110,26/05/2021 , 23:30:00,0,0
111,26/05/2021 , 23:45:00,0,0
112,26/05/2021 , 24:00:00,0,0
