Site Name ,TAYLORSHELLFISH
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14729


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,25/05/2021 , 20:15:00,124,124
2,25/05/2021 , 20:30:00,130,130
3,25/05/2021 , 20:45:00,137,137
4,25/05/2021 , 21:00:00,134,134
5,25/05/2021 , 21:15:00,145,145
6,25/05/2021 , 21:30:00,119,119
7,25/05/2021 , 21:45:00,130,130
8,25/05/2021 , 22:00:00,123,123
9,25/05/2021 , 22:15:00,86,86
10,25/05/2021 , 22:30:00,109,109
11,25/05/2021 , 22:45:00,110,110
12,25/05/2021 , 23:00:00,71,71
13,25/05/2021 , 23:15:00,0,0
14,25/05/2021 , 23:30:00,0,0
15,25/05/2021 , 23:45:00,0,0
16,25/05/2021 , 24:00:00,0,0
17,26/05/2021 , 00:15:00,0,0
18,26/05/2021 , 00:30:00,0,0
19,26/05/2021 , 00:45:00,0,0
20,26/05/2021 , 01:00:00,0,0
21,26/05/2021 , 01:15:00,0,0
22,26/05/2021 , 01:30:00,0,0
23,26/05/2021 , 01:45:00,0,0
24,26/05/2021 , 02:00:00,0,0
25,26/05/2021 , 02:15:00,0,0
26,26/05/2021 , 02:30:00,0,0
27,26/05/2021 , 02:45:00,0,0
28,26/05/2021 , 03:00:00,0,0
29,26/05/2021 , 03:15:00,0,0
30,26/05/2021 , 03:30:00,0,0
31,26/05/2021 , 03:45:00,0,0
32,26/05/2021 , 04:00:00,0,0
33,26/05/2021 , 04:15:00,0,0
34,26/05/2021 , 04:30:00,0,0
35,26/05/2021 , 04:45:00,0,0
36,26/05/2021 , 05:00:00,0,0
37,26/05/2021 , 05:15:00,0,0
38,26/05/2021 , 05:30:00,0,0
39,26/05/2021 , 05:45:00,0,0
40,26/05/2021 , 06:00:00,0,0
41,26/05/2021 , 06:15:00,0,0
42,26/05/2021 , 06:30:00,0,0
43,26/05/2021 , 06:45:00,0,0
44,26/05/2021 , 07:00:00,0,0
45,26/05/2021 , 07:15:00,0,0
46,26/05/2021 , 07:30:00,0,0
47,26/05/2021 , 07:45:00,31,31
48,26/05/2021 , 08:00:00,39,39
49,26/05/2021 , 08:15:00,37,37
50,26/05/2021 , 08:30:00,36,36
51,26/05/2021 , 08:45:00,34,34
52,26/05/2021 , 09:00:00,12,12
53,26/05/2021 , 09:15:00,1,1
54,26/05/2021 , 09:30:00,3,3
55,26/05/2021 , 09:45:00,3,3
56,26/05/2021 , 10:00:00,2,2
57,26/05/2021 , 10:15:00,2,2
58,26/05/2021 , 10:30:00,2,2
59,26/05/2021 , 10:45:00,23,23
60,26/05/2021 , 11:00:00,3,3
61,26/05/2021 , 11:15:00,4,4
62,26/05/2021 , 11:30:00,10,10
63,26/05/2021 , 11:45:00,8,8
64,26/05/2021 , 12:00:00,7,7
65,26/05/2021 , 12:15:00,6,6
66,26/05/2021 , 12:30:00,6,6
67,26/05/2021 , 12:45:00,8,8
68,26/05/2021 , 13:00:00,5,5
69,26/05/2021 , 13:15:00,6,6
70,26/05/2021 , 13:30:00,6,6
71,26/05/2021 , 13:45:00,5,5
72,26/05/2021 , 14:00:00,6,6
73,26/05/2021 , 14:15:00,5,5
74,26/05/2021 , 14:30:00,59,59
75,26/05/2021 , 14:45:00,87,87
76,26/05/2021 , 15:00:00,81,81
77,26/05/2021 , 15:15:00,79,79
78,26/05/2021 , 15:30:00,79,79
79,26/05/2021 , 15:45:00,79,79
80,26/05/2021 , 16:00:00,90,90
81,26/05/2021 , 16:15:00,77,77
82,26/05/2021 , 16:30:00,26,26
83,26/05/2021 , 16:45:00,91,91
84,26/05/2021 , 17:00:00,90,90
85,26/05/2021 , 17:15:00,88,88
86,26/05/2021 , 17:30:00,90,90
87,26/05/2021 , 17:45:00,90,90
88,26/05/2021 , 18:00:00,90,90
89,26/05/2021 , 18:15:00,31,31
90,26/05/2021 , 18:30:00,3,3
91,26/05/2021 , 18:45:00,2,2
92,26/05/2021 , 19:00:00,2,2
93,26/05/2021 , 19:15:00,1,1
94,26/05/2021 , 19:30:00,0,0
95,26/05/2021 , 19:45:00,44,44
96,26/05/2021 , 20:00:00,102,102
97,26/05/2021 , 20:15:00,0,0
98,26/05/2021 , 20:30:00,0,0
99,26/05/2021 , 20:45:00,0,0
100,26/05/2021 , 21:00:00,0,0
101,26/05/2021 , 21:15:00,0,0
102,26/05/2021 , 21:30:00,0,0
103,26/05/2021 , 21:45:00,0,0
104,26/05/2021 , 22:00:00,0,0
105,26/05/2021 , 22:15:00,0,0
106,26/05/2021 , 22:30:00,0,0
107,26/05/2021 , 22:45:00,0,0
108,26/05/2021 , 23:00:00,0,0
109,26/05/2021 , 23:15:00,0,0
110,26/05/2021 , 23:30:00,0,0
111,26/05/2021 , 23:45:00,0,0
112,26/05/2021 , 24:00:00,0,0
