Date,Time,DO conc (mg/L) c:1 2
07/20/21,14:00:00,8.92
07/20/21,14:15:00,8.90
07/20/21,14:30:00,8.83
07/20/21,14:45:00,8.79
07/20/21,15:00:00,8.77
07/20/21,15:15:00,8.75
07/20/21,15:30:00,8.66
07/20/21,15:45:00,8.60
07/20/21,16:00:00,8.58
07/20/21,16:15:00,8.64
07/20/21,16:30:00,8.65
07/20/21,16:45:00,8.64
07/20/21,17:00:00,8.61
07/20/21,17:15:00,8.61
07/20/21,17:30:00,8.66
07/20/21,17:45:00,8.66
07/20/21,18:00:00,8.66
07/20/21,18:15:00,8.65
07/20/21,18:30:00,8.65
07/20/21,18:45:00,8.64
07/20/21,19:00:00,8.65
07/20/21,19:15:00,8.65
07/20/21,19:30:00,8.66
07/20/21,19:45:00,8.66
07/20/21,20:00:00,8.66
07/20/21,20:15:00,8.66
07/20/21,20:30:00,8.65
07/20/21,20:45:00,8.66
07/20/21,21:00:00,8.65
07/20/21,21:15:00,8.67
07/20/21,21:30:00,8.68
07/20/21,21:45:00,8.67
07/20/21,22:00:00,8.70
07/20/21,22:15:00,8.72
07/20/21,22:30:00,8.70
07/20/21,22:45:00,8.73
07/20/21,23:00:00,8.73
07/20/21,23:15:00,8.75
07/20/21,23:30:00,8.76
07/20/21,23:45:00,8.77
07/21/21,00:00:00,8.79
07/21/21,00:15:00,8.81
07/21/21,00:30:00,8.82
07/21/21,00:45:00,8.83
07/21/21,01:00:00,8.86
07/21/21,01:15:00,8.86
07/21/21,01:30:00,8.88
07/21/21,01:45:00,8.90
07/21/21,02:00:00,8.91
07/21/21,02:15:00,8.91
07/21/21,02:30:00,8.93
07/21/21,02:45:00,8.94
07/21/21,03:00:00,8.94
07/21/21,03:15:00,8.96
07/21/21,03:30:00,8.96
07/21/21,03:45:00,8.96
07/21/21,04:00:00,8.98
07/21/21,04:15:00,9.00
07/21/21,04:30:00,9.01
07/21/21,04:45:00,9.03
07/21/21,05:00:00,9.03
07/21/21,05:15:00,9.04
07/21/21,05:30:00,9.06
07/21/21,05:45:00,9.07
07/21/21,06:00:00,9.07
07/21/21,06:15:00,9.09
07/21/21,06:30:00,9.09
07/21/21,06:45:00,9.11
07/21/21,07:00:00,9.17
07/21/21,07:15:00,9.28
07/21/21,07:30:00,9.32
07/21/21,07:45:00,9.35
07/21/21,08:00:00,9.39
07/21/21,08:15:00,9.43
07/21/21,08:30:00,9.44
07/21/21,08:45:00,9.44
07/21/21,09:00:00,9.43
07/21/21,09:15:00,9.44
