Site Name ,LIZ E - JL
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14730


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,20/07/2021 , 14:15:00,87,87
2,20/07/2021 , 14:30:00,93,93
3,20/07/2021 , 14:45:00,91,91
4,20/07/2021 , 15:00:00,92,92
5,20/07/2021 , 15:15:00,93,93
6,20/07/2021 , 15:30:00,94,94
7,20/07/2021 , 15:45:00,79,79
8,20/07/2021 , 16:00:00,0,0
9,20/07/2021 , 16:15:00,0,0
10,20/07/2021 , 16:30:00,0,0
11,20/07/2021 , 16:45:00,1,1
12,20/07/2021 , 17:00:00,0,0
13,20/07/2021 , 17:15:00,5,5
14,20/07/2021 , 17:30:00,7,7
15,20/07/2021 , 17:45:00,6,6
16,20/07/2021 , 18:00:00,2,2
17,20/07/2021 , 18:15:00,0,0
18,20/07/2021 , 18:30:00,0,0
19,20/07/2021 , 18:45:00,0,0
20,20/07/2021 , 19:00:00,0,0
21,20/07/2021 , 19:15:00,0,0
22,20/07/2021 , 19:30:00,0,0
23,20/07/2021 , 19:45:00,0,0
24,20/07/2021 , 20:00:00,0,0
25,20/07/2021 , 20:15:00,0,0
26,20/07/2021 , 20:30:00,9,9
27,20/07/2021 , 20:45:00,9,9
28,20/07/2021 , 21:00:00,0,0
29,20/07/2021 , 21:15:00,0,0
30,20/07/2021 , 21:30:00,0,0
31,20/07/2021 , 21:45:00,0,0
32,20/07/2021 , 22:00:00,0,0
33,20/07/2021 , 22:15:00,0,0
34,20/07/2021 , 22:30:00,0,0
35,20/07/2021 , 22:45:00,0,0
36,20/07/2021 , 23:00:00,0,0
37,20/07/2021 , 23:15:00,0,0
38,20/07/2021 , 23:30:00,0,0
39,20/07/2021 , 23:45:00,0,0
40,20/07/2021 , 24:00:00,0,0
41,21/07/2021 , 00:15:00,0,0
42,21/07/2021 , 00:30:00,0,0
43,21/07/2021 , 00:45:00,0,0
44,21/07/2021 , 01:00:00,0,0
45,21/07/2021 , 01:15:00,0,0
46,21/07/2021 , 01:30:00,0,0
47,21/07/2021 , 01:45:00,0,0
48,21/07/2021 , 02:00:00,0,0
49,21/07/2021 , 02:15:00,0,0
50,21/07/2021 , 02:30:00,0,0
51,21/07/2021 , 02:45:00,0,0
52,21/07/2021 , 03:00:00,0,0
53,21/07/2021 , 03:15:00,0,0
54,21/07/2021 , 03:30:00,0,0
55,21/07/2021 , 03:45:00,0,0
56,21/07/2021 , 04:00:00,0,0
57,21/07/2021 , 04:15:00,0,0
58,21/07/2021 , 04:30:00,0,0
59,21/07/2021 , 04:45:00,0,0
60,21/07/2021 , 05:00:00,0,0
61,21/07/2021 , 05:15:00,0,0
62,21/07/2021 , 05:30:00,0,0
63,21/07/2021 , 05:45:00,0,0
64,21/07/2021 , 06:00:00,0,0
65,21/07/2021 , 06:15:00,0,0
66,21/07/2021 , 06:30:00,0,0
67,21/07/2021 , 06:45:00,0,0
68,21/07/2021 , 07:00:00,0,0
69,21/07/2021 , 07:15:00,0,0
70,21/07/2021 , 07:30:00,0,0
71,21/07/2021 , 07:45:00,0,0
72,21/07/2021 , 08:00:00,1,1
73,21/07/2021 , 08:15:00,0,0
74,21/07/2021 , 08:30:00,3,3
75,21/07/2021 , 08:45:00,9,9
76,21/07/2021 , 09:00:00,9,9
77,21/07/2021 , 09:15:00,1,1
78,21/07/2021 , 09:30:00,1,1
79,21/07/2021 , 09:45:00,1,1
80,21/07/2021 , 10:00:00,0,0
81,21/07/2021 , 10:15:00,1,1
82,21/07/2021 , 10:30:00,1,1
83,21/07/2021 , 10:45:00,2,2
84,21/07/2021 , 11:00:00,2,2
85,21/07/2021 , 11:15:00,1,1
86,21/07/2021 , 11:30:00,2,2
87,21/07/2021 , 11:45:00,2,2
88,21/07/2021 , 12:00:00,3,3
89,21/07/2021 , 12:15:00,1,1
90,21/07/2021 , 12:30:00,5,5
91,21/07/2021 , 12:45:00,5,5
92,21/07/2021 , 13:00:00,2,2
93,21/07/2021 , 13:15:00,5,5
94,21/07/2021 , 13:30:00,9,9
95,21/07/2021 , 13:45:00,8,8
96,21/07/2021 , 14:00:00,7,7
97,21/07/2021 , 14:15:00,8,8
98,21/07/2021 , 14:30:00,8,8
99,21/07/2021 , 14:45:00,9,9
100,21/07/2021 , 15:00:00,6,6
101,21/07/2021 , 15:15:00,121,121
102,21/07/2021 , 15:30:00,189,189
103,21/07/2021 , 15:45:00,189,189
104,21/07/2021 , 16:00:00,103,103
105,21/07/2021 , 16:15:00,70,70
106,21/07/2021 , 16:30:00,30,30
107,21/07/2021 , 16:45:00,41,41
108,21/07/2021 , 17:00:00,14,14
109,21/07/2021 , 17:15:00,10,10
110,21/07/2021 , 17:30:00,11,11
111,21/07/2021 , 17:45:00,8,8
112,21/07/2021 , 18:00:00,7,7
